 No.,Elements/Components,Issues,Screenshots/videorec URLs,Capanicus comments,MCM Comments
Web,,,,,
A. Phone,,,,,
,,Fixed,,,
6,Profile-> incoming calls -> Forward Calls ,Play Announcement is not working in User Profile of Phone tab.,,FIXED,Anusha - Fixed
,,,,,
,,Pending,,,
,,,,,
1,call transfer to extension,"When a call is made from the UCaaS web to a non-UCaaS number and then transferred to another UCaaS extension, the call connects successfully. Charges are deducted for the first user’s call log and charges are correct, but charges for the second user (extension transferred call recipient) are not shown in the call-log report.",,Pending,Umar - Pending 
2,transfer call report on external number,"When the user transfers the call to an external number, the call duration and cost is not being considered on the master caller's call report.",,Pending,Anusha - Pending
3,Call Merge,The MasterCaller stucks at call when all other recipiants are left.,,couldnt reproduced,"Okay, considered as FIxed, still We need to discuss this with furqan sir."
4,Dialer search bar,"The user should be able to search saved contacts on the dialer, including users with their extension and contact number(which is added in user details).",,Improvement,Saurabh - Pending
5,Recordings Charge,"Need to implement call recordings charge on companies user base capping, and storage should be allotted differently",,In Progress,Saurabh - Pending
7,Sentiment Analysis,The Sentiment analysis is not working as expected.,,Need to Discuss ,Saurabh - Pending
8,Voicemail Timeout issue,The voicemail stays longer than 30 seconds.,,As discussed with tauseef Sir there is no logic to end the voicemail after 30 sec even the caller is leaving the message.. but it happens when no one speaks for 3 to 4 sec it will be disconected,Bhushra - Pending
9,Decline with message,"On Inbound calls, Decline with message is not working, SMS cost prompt and DLC required(if needed) restriction shall be shown to the user.",,FIXED,Saurabh - Pending
10,Free Call Minutes,Call charges are being deducted even after the free call minutes are finished.,,Testing,Saurabh - Pending
11,Call Recording Deletion,"if the recording storage is free, we'll delete all recordings after 7 days after notifying the user before certain time.",,Confirmation pending from furkan sir,"Improvement, confirmation pending from furqan sir"
12,transfer calls,"when the user does an extension call and then the same caller transfers the extension call to another extension, all calls will be disconnected immediately.",,,shailendra - pending
13,monitoring,"In the Monitoring section, most features are not functioning correctly. Only Listen and Barge are available, and within Barge, functions like Mute, Transcripts, Hold, and others don’t work. The Campaign section shows no reports, and even when a campaign is opened, it still displays Monitoring – Call Queue at the top. Overall, the sections are not working properly.",,,shailendra - pending
14,Transcription,System does not keep transcription on when user close the Call UI and get back to transcription.,,FIXED,Saurabh - pending(transcription is not working for now)
15,Transcription in Hindi,Transcription in Hindi is not working now,,Saurabh Please provide Azure details,"We have already added card details, please use the same azure account as given with mcmcaptek9278@outlook.com"
